SYEAR,SMTH,LF_STAT,NAICS_5,_COUNT_
,,Unknown,03311,500
,,Unknown,03312,0
,,Unknown,03313,1500
,,Unknown,03314,500
,,Unknown,03315,1250
,,Unknown,03321,1750
,,Unknown,03322,250
,,Unknown,03323,9250
,,Unknown,03324,250
,,Unknown,03325,0
,,Unknown,03326,0
,,Unknown,03327,8000
,,Unknown,03328,750
,,Unknown,03329,1500
,,Unknown,03331,3500
,,Unknown,03332,250
,,Unknown,03333,500
,,Unknown,03334,750
,,Unknown,03335,750
,,Unknown,03336,250
,,Unknown,03339,0
,,Unknown,03341,0
,,Unknown,03342,10500
,,Unknown,03343,500
,,Unknown,03344,750
,,Unknown,03345,2500
,,Unknown,03346,0
,,Unknown,03351,0
,,Unknown,03352,0
,,Unknown,03353,0
,,Unknown,03359,4500
,,Unknown,03361,500
,,Unknown,03362,750
,,Unknown,03363,1250
,,Unknown,03364,1250
,,Unknown,03365,1000
,,Unknown,03366,6250
,,Unknown,03369,0
,,Unknown,03371,12250
,,Unknown,03372,750
,,Unknown,03379,6750
,,Unknown,03391,1500
,,Unknown,03399,18250
,,Unknown,04111,750
,,Unknown,04121,2000
,,Unknown,04131,22250
,,Unknown,04132,3000
,,Unknown,04133,0
,,Unknown,04134,0
,,Unknown,04141,500
,,Unknown,04142,250
,,Unknown,04143,2250
,,Unknown,04144,8000
,,Unknown,04145,2750
,,Unknown,04151,0
,,Unknown,04152,3000
,,Unknown,04153,0
,,Unknown,04161,8500
,,Unknown,04162,250
,,Unknown,04163,10250
,,Unknown,04171,0
,,Unknown,04172,5250
,,Unknown,04173,5000
,,Unknown,04179,2750
,,Unknown,04181,5750
,,Unknown,04182,6750
,,Unknown,04183,3250
,,Unknown,04184,5250
,,Unknown,04189,18500
,,Unknown,04411,33250
,,Unknown,04412,7500
,,Unknown,04413,12500
,,Unknown,04421,3750
,,Unknown,04422,10500
,,Unknown,04431,11750
,,Unknown,04441,25500
,,Unknown,04442,2250
,,Unknown,04451,189500
,,Unknown,04452,30750
,,Unknown,04453,18750
,,Unknown,04461,62250
,,Unknown,04471,9750
,,Unknown,04481,118250
,,Unknown,04482,13500
,,Unknown,04483,8250
,,Unknown,04511,27500
,,Unknown,04513,12500
,,Unknown,04521,39750
,,Unknown,04529,38500
,,Unknown,04531,2750
,,Unknown,04532,7750
,,Unknown,04533,25750
,,Unknown,04539,44250
,,Unknown,04541,11750
,,Unknown,04542,0
